id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa
75367,SRI-1989-1-256-1,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 1/6/1989 SRI LANKAN REBELS KILL FIVE OFFICIALS ForWORKING DURING POLL.,military sources,1,Kamburupitiya town,Kamburupitiya town,Southern province,Matara district,6.083333,80.566667,POINT (80.566667 6.083333),138762,Sri Lanka,LKA,780,Asia,1,1,1/5/1989,1/5/1989,5,0,0,0,5,5,5,780
77920,SRI-1989-1-256-2,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 1/14/1989 SRI LANKAN LEFTIST REBELS PLAN TO DISRUPT PARLIAMENTARY POLL.,military spokesman,1,Matara town,Matara town,Southern province,Matara district,5.95,80.533333,POINT (80.533333 5.95),138042,Sri Lanka,LKA,780,Asia,1,1,1/13/1989,1/13/1989,4,0,0,0,4,7,4,780
77714,SRI-1989-1-256-3,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 1/30/1989 SRI LANKAN POLL CANDIDATES BANNED FROM CARRYING GUNS AT NIGHT.,police,6,Sri Lanka,Sri Lanka,Unknown,Unknown,7,81,POINT (81 7),140203,Sri Lanka,LKA,780,Asia,2,2,1/28/1989,1/29/1989,6,0,2,0,8,8,8,780
75382,SRI-1989-1-256-4,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 2/9/1989 PRESIDENT ORDERS TIGHT SECURITY AT SRI LANKA'S HOLIEST TEMPLE.,officials,1,Kandy town,Kandy town,Central province,Kandy district,7.2955,80.6356,POINT (80.6356 7.2955),140202,Sri Lanka,LKA,780,Asia,1,1,2/8/1989,2/8/1989,0,2,2,0,4,4,4,780
77003,SRI-1989-1-256-5,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 2/11/1989 SRI LANKAN TROOPS COMB SOUTHERN JUNGLE ForREBEL ATTACKERS.,senior military officer said.,1,Suriyawewa locality,Suriyawewa locality,Southern province,Hambantota district,6.3211,80.9972,POINT (80.9972 6.3211),138762,Sri Lanka,LKA,780,Asia,1,1,2/9/1989,2/9/1989,2,0,0,0,2,2,2,780
75674,SRI-1989-1-256-6,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 2/13/1989 SECURITY FORCES ON FULL ALERT ForSRI LANKAN ELECTION.,,1,Kurunegala town,Kurunegala town,North Western province,Kurunegala district,7.4863,80.3623,POINT (80.3623 7.4863),140201,Sri Lanka,LKA,780,Asia,1,1,2/13/1989,2/13/1989,0,4,0,0,4,4,4,780
77628,SRI-1989-1-256-9,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 3/23/1989 TAMIL REBELS SAY 3O0 KILLED IN INDIAN OFFENSIVE.,Deputy Defence Minister Ranjan Wijeratne,2,Meegaswewa village,Meegaswewa (near),North Central province,Polonnaruwa district,8.19551,81.060795,POINT (81.060795 8.19551),141643,Sri Lanka,LKA,780,Asia,2,2,3/19/1989,3/22/1989,0,0,0,0,0,60,0,780
74973,SRI-1989-1-256-8,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 3/20/1989 AT LEAST 50 KILLED IN SRI LANKA IN ONE DAY.,military sources,1,Eppawela town,Eppawela town,North Central province,Anuradhapura district,8.1426,80.403,POINT (80.403 8.1426),141641,Sri Lanka,LKA,780,Asia,2,1,3/19/1989,3/19/1989,4,1,0,0,5,5,5,780
73284,SRI-1989-1-256-7,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,Reuters 3/20/1989 AT LEAST 50 KILLED IN SRI LANKA IN ONE DAY.,military sources,1,Eppawela town,Eppawela town,North Central province,Anuradhapura district,8.1426,80.403,POINT (80.403 8.1426),141641,Sri Lanka,LKA,780,Asia,1,1,3/19/1989,3/19/1989,3,0,0,0,3,3,3,780
74993,SRI-1989-1-256-10,1989,1,Clear,1,313,313,Sri Lanka (Ceylon): Government,674,674,Government of Sri Lanka - JVP,145,145,Government of Sri Lanka,281,281,JVP,-1,"Reuters 4/5/1989 REBELS KILL SOLDIER, SET FIRE TO OFFICES.",military sources,3,Galle district,Galle district,Southern province,Galle district,6.25,80.25,POINT (80.25 6.25),138761,Sri Lanka,LKA,780,Asia,1,1,4/5/1989,4/5/1989,1,0,0,0,1,1,1,780
